Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
1858667,,Chur,1886,,Benedict Fontana und die historische Kritik,"Jecklin, Constanz, ","Fontana, Benedict Von, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001858667,British Library HMNTS 9004.l.30.(2.)
1858978,,London,1896,Simpkin & Marshall,The Early Fiction of Richard Jefferies,"Jefferies, Richard","Toplis, S, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001858978,British Library HMNTS 12603.l.5.
1859041,,London,1896,Simpkin & Marshall,Jefferies' Land: a history of Swindon and its environs ,"Jefferies, Richard","Toplis, S, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001859041,British Library HMNTS 10352.dd.20.
1859240,,London,[1889.],Aldine Publishing Co.,The Shadows of a Great City,"Jefferson, J, ","Shewell, L, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001859240,British Library HMNTS 12621.h.9.(4.)
1859304,,London,1895,Sampson Low & Co.,A wheel to Moscow and back,"Jefferson, Robert L, ","Savile, Albany Robert, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001859304,British Library HMNTS 10107.b.2.
1859383,,"Brooklyn, N.Y",1894,Historical Printing Club,Notes on the State of Virginia ,"Jefferson, Thomas","Ford, Paul Leicester",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001859383,British Library HMNTS 10410.r.11.
1860267,,w Lwowie,1819-23,,O Polozcze jey dziejach i konstytucyi dzieło ,"Jekel, Franz Joseph, ","SłotwińSki, Konstanty, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001860267,British Library HMNTS 9475.cc.24.
1861480,,London,1887,Longmans & Co.,"Papers literary, scientific, &c","Jenkin, Henry Charles Fleeming, ","Colvin, Sidney , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001861480,British Library HMNTS 12272.i.7.
1861749,,Portmadoc,1899,Llewelyn Jenkins,"Bedd Gelert: its facts, fairies, & folk-lore","Jenkins, David Erwyd, ","Jones, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001861749,British Library HMNTS 10369.e.23.
1862068,,London,1876,,Ginx's Baby,"Jenkins, John Edward, ","Barnard, Frederick, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001862068,British Library HMNTS 12638.d.4.
1862073,,"London, Edinburgh",[1879-82.],,Jobson's Enemies,"Jenkins, John Edward, ","Barnard, Frederick, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001862073,British Library HMNTS 12641.dd.2.
1862126,,Auburn,1850,,United States exploring expeditions,"Jenkins, John S, ","Lynch, William F, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001862126,British Library HMNTS 10002.e.17.
1862506,,London,1898,Hutchinson & Co.,Fiona M'Iver: a romance of the Western Isles,"Jenkinson, Arthur , ","Jenkinson, Emily J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001862506,British Library HMNTS 012628.n.28.
1863215,,"London, Guildford [printed]",1876,,Jennie of “The Prince's,,"Buxton, Bertha H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001863215,British Library HMNTS 12636.m.3.
1863645,,London,1877,,"Field Paths and Green Lanes: being country walks, chiefly in Surrey and Sussex","Jennings, Louis John, ","Whymper, Josiah Wood, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001863645,British Library HMNTS 10358.e.1.
1863652,,London,1880,John Murray,Rambles among the Hills in the Peak of Derbyshire and the South Downs ,"Jennings, Louis John, ","Murray, Alexander Henry Hallam, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001863652,British Library HMNTS 10351.ccc.18.
1864717,,Berlin,1890,,Der Schwarzwald ,"Jensen, Wilhelm Hermann, ","Hasemann, W, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001864717,British Library HMNTS 10260.f.2.
1865015,,Leipzig,1890,,Emin Pascha und die Meuterei in Aequatoria ,"Jephson, A, ","Wobeser, Hugo Von, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001865015,British Library HMNTS 010096.f.20.
1865061,,London,1881 [1880],G. Routledge & Sons,"With the Colours; or, the piping times of peace ","Jephson, Richard Mounteney, ","Simkin, Richard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001865061,British Library HMNTS 12641.dd.17.
1865063,,London,1869,,Our Life in Japan ,"Jephson, Richard Mounteney , ","Elmhirst, Edward Pennell, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001865063,British Library HMNTS 010057.ee.33.
1865300,,London,1895,Tower Publishing Co.,Sibyl Falcon,"Jepson, Edgar Alfred, ","Piffard, Harold, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001865300,British Library HMNTS 012628.n.4.
1865511,,Edinburgh,1878,Andrew Elliot,Essays and Lyrics ,"Jerdan, Samuel Smiles, ","Jerdan, Charles, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001865511,British Library HMNTS 012273.aaa.64.
1865853,,London,1882,W. Ridgway,"The Siege of Berwick, a tragedy  ","Jerningham, Edward, ","Jerningham, Hubert Edward Henry , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001865853,British Library HMNTS 11779.h.4.
1866335,,Paris,[1894.],,Trois Hommes dans un Bateau ,"Jerome, Jerome K, ","Bouissou, Henri, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001866335,British Library HMNTS 012634.n.14.
1866350,,London,1895,Chatto & Windus,The Prude's Progress,"Jerome, Jerome K, ","Phillpotts, Eden",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001866350,British Library HMNTS 11781.dd.27.
1866711,[Another edition.] Illustrated by G. Du Maurier.,London,1867,,: Single Works,"Jerrold, Douglas William","Du Maurier, George",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001866711,British Library HMNTS 12619.g.26.
1866835,,London,1884,W. H. Allen & Co.,At Home in Paris,"Jerrold, William Blanchard, ","Jerrold, Evelyn Douglas, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001866835,British Library HMNTS 10169.eee.19.
1866969,,St. Helier],1858,P. Falle,"Chroniques de Jersey, dont l'auteur est inconnu; revues et corrigées sur les manuscrits les plus complets, avec une préface, un essai, un errata, et un appendice, par A",,"Mourant, Abraham, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001866969,British Library HMNTS 10368.d.29.
1866989,,Jersey,1887,W. Guiton,"The Jubilee Guide to Jersey, in rhyme, by a Modern Troubadour : Appendix",,"O'Carroll, Patrick, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001866989,British Library HMNTS 10369.cc.21.
1867533,"Second edition, with illustrations. Rewritten and corrected by J. Gammack.",Edinburgh,1882,D. Douglas,,"Jervise, Andrew, ","Gammack, James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001867533,British Library HMNTS 10370.ff.8.
1867536,,Edinburgh,1885,D. Douglas,Memorials of Angus and the Mearns,"Jervise, Andrew, ","Gammack, James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001867536,British Library HMNTS 10370.i.16.
1868021,,Copenhague,1898,,Copenhague,"Jessen, Franz Von, ","ÖSterby, Peder, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001868021,British Library HMNTS 10280.eee.30.
1869858,,London,1891,Chapman & Hall,The Christ that is to be,,"Rickett, Joseph Compton , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001869858,British Library HMNTS 012631.h.28.
1870447,,London,1713,"Printed, and are to be sold by J. Morphew",An Hymn to the Redeemer,,"Goldwin, William, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001870447,British Library HMNTS 11602.i.23.(2.)|British Library HMNTS 1347.m.52.(4.)
1871049,,London,1779,J. Murray,"The Prince of Peace, and other poems",,"Cartwright, Edmund , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001871049,British Library HMNTS 643.k.23.|British Library HMNTS 11630.d.7.(2.)|British Library HMNTS 162.l.60.
1873834,,London,1877,,A Jewel of a Girl,,"Crommelin, Maria Henrietta De La Cherois, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001873834,British Library HMNTS 12639.aa.5.
1874355,,London,1874-77,,The Stately Homes of England ,"Jewitt, Llewellynn Frederick William , ","Hall, S, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001874355,British Library HMNTS 10349.ff.17.
1876770,,London,1689,,The Female Prelate: being the history and the life and death of Pope Joan,,"Settle, Elkanah, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001876770,British Library HMNTS 644.i.13.
1876811,,London,1879,,Joan the Maid: deliverer of England and France,,"Charles, Elizabeth, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001876811,British Library HMNTS 12641.c.11.
1876953,,Paris,1861,,"Itinéraire descriptif, historique, et archéologique de l'Orient ","Joanne, Adolphe Laurent , ","Isambert, ÉMile, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001876953,British Library HMNTS 10075.c.28.
1877246,,Eisenach,[1888],,Johann Rothe's Chronik von Thüringen,,"Fritsche, E, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001877246,British Library HMNTS 10240.h.17.
1878522,,Montréal,1889,,Histoire de Longueuil et de la famille de Longueuil,"Jodoin, Alex , ","Vincent, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001878522,British Library HMNTS 10470.f.26.
1878547,,Londra,1821,A spese dell’autore,L'Eroina Persiana,"Jodrell, Richard Paul, ","Caravita, Giuseppe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001878547,British Library HMNTS 644.l.25.
1880110,,London,1899,"Ward, Lock & Co.",With Nansen in the North: a record of the Fram expedition in 1893-96,"Johansen, Frederik Hjalmar, ","Brækstad, Hans Lien, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001880110,British Library HMNTS 10470.ff.17.
1882514,,Edinburgh and London,1878,,John-a-Dreams,,"Sturgis, Julian Russell, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001882514,British Library HMNTS 12641.aaa.11.
1886779,,"4 vol. The Century Co.: New York, 1887, 8º",,,"Battles and Leaders of the Civil War, being for the most part contributions by Union and Confederate officers, based upon “the Century War Series","Johnson, Robert Underwood , ","Buel, Clarence Clough, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001886779,British Library HMNTS 9605.f.13.
1886877,,London,1792,"Printed for T. Longman, etc.","The Works of Samuel Johnson, LL","Johnson, Samuel , ","Murphy, Arthur, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001886877,British Library HMNTS 96.c.1-12.|British Library HMNTS 012273.eee.5.
1886881,,London,1806,"J. Johnson, etc.","The Works of Samuel Johnson, LL","Johnson, Samuel , ","Chalmers, Alexander , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001886881,British Library HMNTS 012273.eee.8.
1887109,,Glasgow,1817,R. Chapman,A Journey to the Western Islands of Scotland ,"Johnson, Samuel","Macnicol, Donald, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001887109,British Library HMNTS 010370.pp.35.
1887174,,London,1897,,Johnson's Lives of Prior and Congreve,"Johnson, Samuel , ","Ryland, Frederick , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001887174,British Library HMNTS 012272.aaaa.1/15.
1887181,,London,1893,,Johnson's Life of Addison,"Johnson, Samuel , ","Ryland, Frederick , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001887181,British Library HMNTS 012272.aaaa.1/35.
1887185,,London,1895,,Johnson's Life of Dryden,"Johnson, Samuel , ","Ryland, Frederick , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001887185,British Library HMNTS 012272.aaaa.1/27.
1887195,,London,1894,,Johnson's Life of Milton,"Johnson, Samuel , ","Ryland, Frederick , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001887195,British Library HMNTS 012272.aaaa.1/28.
1887208,,London,1894,,Johnson's Life of Swift,"Johnson, Samuel , ","Ryland, Frederick , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001887208,British Library HMNTS 012272.aaaa.1/8.
1887400,,Oxford,1888 [1887],Clarendon Press,"Wit and Wisdom of Samuel Johnson, selected and arranged by G","Johnson, Samuel , ","Hill, George Birkbeck Norman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001887400,British Library HMNTS 12269.bbb.23.
1888248,"New edition, etc. A General Dictionary of Geography, etc.",London,1877,,,"Johnston, Alexander Keith , ","Lamprey, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001888248,British Library HMNTS 10003.s.8.
1888270,,London,1889,E. Stanford,A short Geography of Africa ,"Johnston, Alexander Keith , ","Ravenstein, Ernst Georg, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001888270,British Library HMNTS 010094.de.4.
1889397,,Edinburgh,1872,,The Historical Geography of the Clans of Scotland,"Johnston, Thomas Brumby , ","Robertson, James Alexander , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001889397,British Library HMNTS 10370.ff.16.
1889398,,Edinburgh,1899,W. & A. K. Johnston,Historical Geography of the Clans of Scotland ,"Johnston, Thomas Brumby , ","Dickson, William Kirk, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001889398,British Library HMNTS 10370.h.21.
1889816,Second edition. [Edited by J. B.],London,1821,,,"Johnstone, James De , ","B, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001889816,British Library HMNTS 1325.e.20.
1890173,,Paris,1890,,Londres et les Anglais en 1771,"Join, ","Grosley, Pierre Jean, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001890173,British Library HMNTS 10349.gg.20.
1890613,,Budapest,1889,,Utazás egy sirdomb körül,"Jókai, Mór","VáGó, PáL , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001890613,British Library HMNTS 10130.ee.6.
1890799,,London,1819,James Black,"Letters from Palestine, descriptive of a Tour through Galilee and Judæa, with some account of the Dead Sea, and of the present state of Jerusalem","Joliffe, Thomas R, ","J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001890799,British Library HMNTS 1046.i.10.|British Library HMNTS 10076.d.20.
1891843,,New-York,1864,,"The Political and Military History of the Campaign of Waterloo: translated from the French of General Baron de Jomini, by Captⁿ S","Jomini, Antoine Henri De , ","BenéT, Stephen Vincent , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001891843,British Library HMNTS 9077.bbb.35.
1893100,,"Savannah, Ga",1880,Printed for the Author,Hernando De Soto,"Jones, Charles Colcock , ","Soto, Ferdinando De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001893100,British Library HMNTS 10412.ff.13.
1894328,,London,1855 [1853-55],Printed for the Proprietors by McGowan & Co.,"The Lass and the Lady; or, Love's ladder","Jones, Ernest Charles","Frost, Thomas, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001894328,British Library HMNTS 12625.f.28.
1894767,,London,1893,Tower Publishing Co.,The Angel of the Revolution: a tale of the coming Terror,"Jones, George Chetwynd Griffith , ","Jane, Frederick Thomas, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001894767,British Library HMNTS 012630.h.1.
1895618,,London,1892,Waterlow and Sons,"Swin, Swale, and Swatchway: or, Cruises down the Thames, the Medway and the Essex rivers","Jones, Henry Lewis, ","Lockwood, Charles Barrett, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001895618,British Library HMNTS 10358.e.26.
1896918,,"G. J. Parris, steam printer",[1886?],London,"Sidney Cooper's Comic pantomime, Robinson Crusoe; or, Harlequin Man Friday and the good fairies of the coral cave, etc","Jones, John Wilton, ","Cooper, Sidney, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001896918,British Library HMNTS 11779.g.6.(8.)
1897488,,Exeter,1875,S. Drayton & Sons,The History of Chudleigh ,"Jones, Mary , ","Snell, William W, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001897488,British Library HMNTS 10352.g.12.
1898896,,Brecknock,1898,E. Davies,"A History of the County of Brecknock, etc","Jones, Theophilus , ","Morgan, Gwenllian Elizabeth Fanny, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001898896,British Library HMNTS 10370.i.12.
1900217,,Haarlem,1807,,"Tweede Reize naar de Middellandsche Zee, gedaan in de Jaren 1783-85 ","Jong, Cornelis De , ","Gennip, Cornelis Van, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001900217,British Library HMNTS 10027.e.3.
